simulações,a,b,c,y
1000,518,501,485,466
1000,474,503,500,500
1000,485,497,505,503
1000,517,502,506,510
1000,492,505,513,511
1000,510,488,495,485
1000,508,491,516,532
1000,493,492,473,475
1000,485,499,490,484
1000,517,505,498,514
1000,505,517,485,491
1000,491,470,486,479
1000,502,486,497,481
1000,487,505,479,483
1000,502,497,476,486
1000,512,498,515,495
1000,513,497,478,479
1000,511,482,488,492
1000,524,485,508,504
1000,477,518,511,517
1000,498,508,495,500
1000,495,501,501,505
1000,505,520,498,519
1000,486,480,477,492
1000,494,524,515,519
1000,497,517,514,530
1000,503,520,486,486
1000,484,464,518,501
1000,476,486,530,507
1000,491,490,522,513
1000,485,507,464,467
1000,495,506,491,525
1000,492,473,515,505
1000,498,531,488,501
1000,511,471,505,483
1000,517,486,498,491
1000,516,498,493,495
1000,502,481,501,520
1000,516,509,529,518
1000,489,514,512,495
1000,494,498,484,511
1000,495,506,476,497
1000,485,502,501,501
1000,499,492,480,480
1000,498,483,483,475
1000,501,514,519,510
1000,508,494,480,494
1000,485,502,481,504
1000,479,494,504,516
1000,496,486,479,506
